"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-12-31,66666,"20852","MD","Washington","Montgomery","North Bethesda",421,403500,-0.00321146245059289,0.00124069478908189,0.00875,0.0148120600062478,-0.00283028390798423,"2006-02","2006-Q1",446300,-0.095899619090298,"2005-05"
2017-12-31,70846,"30066","GA","Atlanta","Cobb","Marietta",422,247000,0.0069302894415002,0.0283097418817652,0.0739130434782609,0.0864140157338744,0.0227724103534186,"2017-12","2017-Q4",247000,0,"2017-12"
2017-12-31,65801,"19134","PA","Philadelphia","Philadelphia","Philadelphia",423,55600,0.0072463768115942,0.0239410681399632,0.025830258302583,0.0154382357959635,-0.0109953827525892,"2007-10","2007-Q4",62500,-0.1104,"2006-06"
2017-12-31,93133,"79924","TX","El Paso","El Paso","El Paso",424,93700,0,0.0118790496760259,0.0388026607538803,0.00432448571421262,-0.00608779138064719,"2007-12","2007-Q4",99600,-0.0592369477911647,"2006-10"
2017-12-31,70984,"30253","GA","Atlanta","Henry","McDonough",425,164100,0.00183150183150183,0.00428396572827417,0.0546272493573265,0.0823039927296934,0.00215824532414088,"2007-05","2007-Q2",165300,-0.00725952813067151,"2007-02"
2017-12-31,84637,"60637","IL","Chicago","Cook","Chicago",426,149400,-0.0105960264900662,-0.00133689839572192,0.0881281864530226,0.0218434463960639,-0.0274266809897993,"2007-02","2007-Q1",206900,-0.27791203479942,"2003-03"
2017-12-31,69773,"28210","NC","Charlotte","Mecklenburg","Charlotte",427,324500,0.0062015503875969,0.0185185185185185,0.104868913857678,0.094185214865667,0.030882234840816,"2017-12","2017-Q4",324500,0,"2017-12"
2017-12-31,74940,"38655","MS","Oxford","Lafayette","Oxford",428,195500,-0.0170940170940171,-0.0151133501259446,0.0505104782375067,0.0247552022418578,0.0141339885761966,"2017-10","2017-Q4",199900,-0.0220110055027514,"2017-07"
2017-12-31,97545,"94080","CA","San Francisco","San Mateo","South San Francisco",429,950300,0.0184331797235023,0.0465859030837004,0.131444219549946,0.1222255745645,0.0335343872908962,"2017-12","2017-Q4",950300,0,"2017-12"
2017-12-31,69778,"28215","NC","Charlotte","Mecklenburg","Charlotte",430,157900,0.0134788189987163,0.0456953642384106,0.146695715323166,0.0889920090528566,0.0224195859652383,"2017-12","2017-Q4",157900,0,"2017-12"
2017-12-31,90638,"75035","TX","Dallas-Fort Worth","Collin","Frisco",431,358700,-0.000557258289217052,0.0115623237450649,0.0448587241479755,0.0934268580922158,0.0487732917892729,"2017-11","2017-Q4",358900,-0.000557258289217052,"2017-11"
2017-12-31,88457,"70072","LA","New Orleans","Jefferson","Marrero",432,130900,0.00383435582822086,0.00614911606456572,0.0108108108108108,0.0206208448870893,,"2017-06","2017-Q2",131000,-0.000763358778625954,"2017-06"
2017-12-31,94103,"83301","ID","Twin Falls","Twin Falls","Twin Falls",433,159700,0.0006265664160401,0.013968253968254,0.0431090790333116,0.0415307585520446,0.00907852202032777,"2017-12","2017-Q4",159700,0,"2017-12"
2017-12-31,89712,"72712","AR","Fayetteville","Benton","Bentonville",434,201100,0.0029925187032419,0.0151438667339727,0.0484880083420229,0.0521011479192752,0.0219822556114992,"2017-12","2017-Q4",201100,0,"2017-12"
2017-12-31,72599,"33433","FL","Miami-Fort Lauderdale","Palm Beach","Boca Raton",435,277600,0.00036036036036036,0.0175953079178886,0.0495274102079395,0.108312610592592,0.00614658851587935,"2006-03","2006-Q1",349800,-0.206403659233848,"2005-03"
2017-12-31,78467,"47150","IN","Louisville/Jefferson County","Floyd","New Albany",436,127200,0.0184147317854283,0.0409165302782324,0.0582362728785358,0.0272507447940411,0.00694010662217392,"2017-12","2017-Q4",127200,0,"2017-12"
2017-12-31,62453,"12180","NY","Albany","Rensselaer","Troy",437,156800,0.00255754475703325,0.00706486833654464,-0.00381194409148666,0.00505010802176487,-0.00592472125278365,"2008-06","2008-Q2",167800,-0.065554231227652,"2006-10"
2017-12-31,96192,"90640","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Montebello",438,541400,0.00501206608501949,0.0176691729323308,0.0819344524380496,0.0946261148597614,0.00573657902126601,"2017-12","2017-Q4",541400,0,"2017-12"
2017-12-31,61628,"10014","NY","New York","New York","New York",439,1539700,-0.0128229787779701,-0.0433080651174351,0.0237367021276596,0.123432908970963,0.0505729288319618,"2017-07","2017-Q3",1675600,-0.0811052757221294,"2017-05"
2017-12-31,63414,"14094","NY","Buffalo","Niagara","Town of Lockport",440,132300,0.00075642965204236,0.0145705521472393,0.0584,0.0427783946796612,0.0284884895405948,"2017-12","2017-Q4",132300,0,"2017-12"
2017-12-31,92667,"78758","TX","Austin","Travis","Austin",441,243700,0.015839933305544,0.0235195296094078,0.0618736383442266,0.121434103931103,0.053728759863112,"2017-12","2017-Q4",243700,0,"2017-12"
